,Common Name,Scientific Name,Date Sited,Location Name,Latitude,Longitude,year
0,Mourning Dove,Zenaida macroura,2020-09-26 13:36,Nightingale CSO Basin (Post-2016),38.2144822,-85.7114928,2020
1,Chimney Swift,Chaetura pelagica,2020-09-26 13:36,Nightingale CSO Basin (Post-2016),38.2144822,-85.7114928,2020
2,Eastern Phoebe,Sayornis phoebe,2020-09-26 13:36,Nightingale CSO Basin (Post-2016),38.2144822,-85.7114928,2020
3,Blue Jay,Cyanocitta cristata,2020-09-26 13:36,Nightingale CSO Basin (Post-2016),38.2144822,-85.7114928,2020
4,Carolina Chickadee,Poecile carolinensis,2020-09-26 13:36,Nightingale CSO Basin (Post-2016),38.2144822,-85.7114928,2020
5,Tufted Titmouse,Baeolophus bicolor,2020-09-26 13:36,Nightingale CSO Basin (Post-2016),38.2144822,-85.7114928,2020
6,White-breasted Nuthatch,Sitta carolinensis,2020-09-26 13:36,Nightingale CSO Basin (Post-2016),38.2144822,-85.7114928,2020
7,Carolina Wren,Thryothorus ludovicianus,2020-09-26 13:36,Nightingale CSO Basin (Post-2016),38.2144822,-85.7114928,2020
8,European Starling,Sturnus vulgaris,2020-09-26 13:36,Nightingale CSO Basin (Post-2016),38.2144822,-85.7114928,2020
9,Gray Catbird,Dumetella carolinensis,2020-09-26 13:36,Nightingale CSO Basin (Post-2016),38.2144822,-85.7114928,2020
10,Eastern Bluebird,Sialia sialis,2020-09-26 13:36,Nightingale CSO Basin (Post-2016),38.2144822,-85.7114928,2020
11,American Robin,Turdus migratorius,2020-09-26 13:36,Nightingale CSO Basin (Post-2016),38.2144822,-85.7114928,2020
12,American Goldfinch,Spinus tristis,2020-09-26 13:36,Nightingale CSO Basin (Post-2016),38.2144822,-85.7114928,2020
13,Song Sparrow,Melospiza melodia,2020-09-26 13:36,Nightingale CSO Basin (Post-2016),38.2144822,-85.7114928,2020
14,Common Grackle,Quiscalus quiscula,2020-09-26 13:36,Nightingale CSO Basin (Post-2016),38.2144822,-85.7114928,2020
15,Northern Cardinal,Cardinalis cardinalis,2020-09-26 13:36,Nightingale CSO Basin (Post-2016),38.2144822,-85.7114928,2020
16,Ruby-throated Hummingbird,Archilochus colubris,2020-09-26 13:06,"E.P. ""Tom"" Sawyer SP",38.2817914,-85.5584292,2020
17,Turkey Vulture,Cathartes aura,2020-09-26 13:06,"E.P. ""Tom"" Sawyer SP",38.2817914,-85.5584292,2020
18,Northern Flicker,Colaptes auratus,2020-09-26 13:06,"E.P. ""Tom"" Sawyer SP",38.2817914,-85.5584292,2020
19,Northern Mockingbird,Mimus polyglottos,2020-09-26 13:06,"E.P. ""Tom"" Sawyer SP",38.2817914,-85.5584292,2020
20,Chipping Sparrow,Spizella passerina,2020-09-26 13:06,"E.P. ""Tom"" Sawyer SP",38.2817914,-85.5584292,2020
21,Field Sparrow,Spizella pusilla,2020-09-26 13:06,"E.P. ""Tom"" Sawyer SP",38.2817914,-85.5584292,2020
22,Killdeer,Charadrius vociferus,2020-09-26 12:41,Equestrian Lakes,38.1526473,-85.3591776,2020
23,Great Blue Heron,Ardea herodias,2020-09-26 12:41,Equestrian Lakes,38.1526473,-85.3591776,2020
24,Downy Woodpecker,Dryobates pubescens,2020-09-26 12:41,Equestrian Lakes,38.1526473,-85.3591776,2020
25,Red-bellied Woodpecker,Melanerpes carolinus,2020-09-26 12:32,JoAnn Foster Park,36.899629,-85.862841,2020
26,Pileated Woodpecker,Dryocopus pileatus,2020-09-26 12:32,JoAnn Foster Park,36.899629,-85.862841,2020
27,Philadelphia Vireo,Vireo philadelphicus,2020-09-26 12:32,JoAnn Foster Park,36.899629,-85.862841,2020
28,Black-and-white Warbler,Mniotilta varia,2020-09-26 12:32,JoAnn Foster Park,36.899629,-85.862841,2020
29,American Redstart,Setophaga ruticilla,2020-09-26 12:32,JoAnn Foster Park,36.899629,-85.862841,2020
30,Northern Parula,Setophaga americana,2020-09-26 12:32,JoAnn Foster Park,36.899629,-85.862841,2020
31,Chestnut-sided Warbler,Setophaga pensylvanica,2020-09-26 12:32,JoAnn Foster Park,36.899629,-85.862841,2020
32,Black-throated Green Warbler,Setophaga virens,2020-09-26 12:32,JoAnn Foster Park,36.899629,-85.862841,2020
33,Summer Tanager,Piranga rubra,2020-09-26 12:32,JoAnn Foster Park,36.899629,-85.862841,2020
34,American Crow,Corvus brachyrhynchos,2020-09-26 12:18,"11117 Pebble Creek Dr, Louisville US-KY 38.32092, -85.54135",38.320918,-85.54135,2020
35,House Finch,Haemorhous mexicanus,2020-09-26 12:18,"11117 Pebble Creek Dr, Louisville US-KY 38.32092, -85.54135",38.320918,-85.54135,2020
36,Cape May Warbler,Setophaga tigrina,2020-09-26 12:18,"11117 Pebble Creek Dr, Louisville US-KY 38.32092, -85.54135",38.320918,-85.54135,2020
37,Red-breasted Nuthatch,Sitta canadensis,2020-09-26 12:13,"610 KY-901, Columbia US-KY 37.12880, -85.28179",37.128803,-85.281794,2020
38,Great Egret,Ardea alba,2020-09-26 11:49,"Land Between The Lakes National Recreation Area, Cadiz US-KY 36.79568, -87.99767",36.795684,-87.997668,2020
39,Black Vulture,Coragyps atratus,2020-09-26 11:49,"Land Between The Lakes National Recreation Area, Cadiz US-KY 36.79568, -87.99767",36.795684,-87.997668,2020
40,Bald Eagle,Haliaeetus leucocephalus,2020-09-26 11:49,"Land Between The Lakes National Recreation Area, Cadiz US-KY 36.79568, -87.99767",36.795684,-87.997668,2020
41,White-eyed Vireo,Vireo griseus,2020-09-26 11:49,"Land Between The Lakes National Recreation Area, Cadiz US-KY 36.79568, -87.99767",36.795684,-87.997668,2020
42,Red-eyed Vireo,Vireo olivaceus,2020-09-26 11:49,"Land Between The Lakes National Recreation Area, Cadiz US-KY 36.79568, -87.99767",36.795684,-87.997668,2020
43,Magnolia Warbler,Setophaga magnolia,2020-09-26 11:49,"Land Between The Lakes National Recreation Area, Cadiz US-KY 36.79568, -87.99767",36.795684,-87.997668,2020
44,Wild Turkey,Meleagris gallopavo,2020-09-26 11:48,"442 KY-730, Eddyville US-KY 37.05324, -87.99835",37.053245,-87.998348,2020
45,Yellow-bellied Sapsucker,Sphyrapicus varius,2020-09-26 11:45,The Hood,38.053355,-84.5546458,2020
46,House Sparrow,Passer domesticus,2020-09-26 11:45,The Hood,38.053355,-84.5546458,2020
47,Canada Goose,Branta canadensis,2020-09-26 11:29,"Dave's Biosphere, 3809 Brier East,  Lexington KY",38.0155007,-84.3764269,2020
48,Cooper's Hawk,Accipiter cooperii,2020-09-26 11:29,"Dave's Biosphere, 3809 Brier East,  Lexington KY",38.0155007,-84.3764269,2020
49,Red-shouldered Hawk,Buteo lineatus,2020-09-26 11:29,"Dave's Biosphere, 3809 Brier East,  Lexington KY",38.0155007,-84.3764269,2020
50,Eastern Wood-Pewee,Contopus virens,2020-09-26 11:29,"Dave's Biosphere, 3809 Brier East,  Lexington KY",38.0155007,-84.3764269,2020
51,Brown Thrasher,Toxostoma rufum,2020-09-26 11:29,"Dave's Biosphere, 3809 Brier East,  Lexington KY",38.0155007,-84.3764269,2020
52,Cedar Waxwing,Bombycilla cedrorum,2020-09-26 11:29,"Dave's Biosphere, 3809 Brier East,  Lexington KY",38.0155007,-84.3764269,2020
53,Eastern Towhee,Pipilo erythrophthalmus,2020-09-26 11:29,"Dave's Biosphere, 3809 Brier East,  Lexington KY",38.0155007,-84.3764269,2020
54,Hooded Warbler,Setophaga citrina,2020-09-26 11:29,"Dave's Biosphere, 3809 Brier East,  Lexington KY",38.0155007,-84.3764269,2020
55,Bay-breasted Warbler,Setophaga castanea,2020-09-26 11:29,"Dave's Biosphere, 3809 Brier East,  Lexington KY",38.0155007,-84.3764269,2020
56,Belted Kingfisher,Megaceryle alcyon,2020-09-26 10:49,Big Bone Lick SP,38.8850856,-84.7508295,2020
57,Blue-winged Warbler,Vermivora cyanoptera,2020-09-26 10:49,Big Bone Lick SP,38.8850856,-84.7508295,2020
58,Hairy Woodpecker,Dryobates villosus,2020-09-26 10:47,Caperton Swamp Park,38.2900693,-85.6813307,2020
59,Red-tailed Hawk,Buteo jamaicensis,2020-09-26 10:34,"E.P. ""Tom"" Sawyer SP",38.2817914,-85.5584292,2020
60,House Wren,Troglodytes aedon,2020-09-26 10:34,"E.P. ""Tom"" Sawyer SP",38.2817914,-85.5584292,2020
61,Ovenbird,Seiurus aurocapilla,2020-09-26 10:34,"E.P. ""Tom"" Sawyer SP",38.2817914,-85.5584292,2020
62,Tennessee Warbler,Leiothlypis peregrina,2020-09-26 10:34,"E.P. ""Tom"" Sawyer SP",38.2817914,-85.5584292,2020
63,Common Yellowthroat,Geothlypis trichas,2020-09-26 10:34,"E.P. ""Tom"" Sawyer SP",38.2817914,-85.5584292,2020
64,Bay-breasted/Blackpoll Warbler,Setophaga castanea/striata,2020-09-26 10:34,"E.P. ""Tom"" Sawyer SP",38.2817914,-85.5584292,2020
65,Prairie Warbler,Setophaga discolor,2020-09-26 10:34,"E.P. ""Tom"" Sawyer SP",38.2817914,-85.5584292,2020
66,Indigo Bunting,Passerina cyanea,2020-09-26 10:29,Morning View Heritage Area,38.8234394,-84.454903,2020
67,Yellow-billed Cuckoo,Coccyzus americanus,2020-09-26 10:23,1714 Nightingale Court,38.21353,-85.71194,2020
68,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),2020-09-26 10:11,Lake Barkley (Lyon Co.)--Eddy Creek Embayment (Coleman Bridge Vicinity),37.0377028,-87.9994833,2020
69,Ring-billed Gull,Larus delawarensis,2020-09-26 10:11,Lake Barkley (Lyon Co.)--Eddy Creek Embayment (Coleman Bridge Vicinity),37.0377028,-87.9994833,2020
70,Green Heron,Butorides virescens,2020-09-26 10:11,Lake Barkley (Lyon Co.)--Eddy Creek Embayment (Coleman Bridge Vicinity),37.0377028,-87.9994833,2020
71,Black-crowned Night-Heron,Nycticorax nycticorax,2020-09-26 10:11,Lake Barkley (Lyon Co.)--Eddy Creek Embayment (Coleman Bridge Vicinity),37.0377028,-87.9994833,2020
72,Fish Crow,Corvus ossifragus,2020-09-26 10:11,Lake Barkley (Lyon Co.)--Eddy Creek Embayment (Coleman Bridge Vicinity),37.0377028,-87.9994833,2020
73,swallow sp.,Hirundinidae sp.,2020-09-26 10:11,Lake Barkley (Lyon Co.)--Eddy Creek Embayment (Coleman Bridge Vicinity),37.0377028,-87.9994833,2020
74,Broad-winged Hawk,Buteo platypterus,2020-09-26 10:04,"W Manslick Rd, Louisville US-KY 38.12004, -85.79591",38.120039,-85.795913,2020
75,Wood Thrush,Hylocichla mustelina,2020-09-26 10:04,"W Manslick Rd, Louisville US-KY 38.12004, -85.79591",38.120039,-85.795913,2020
76,Acanthis/Spinus sp.,Acanthis/Spinus sp.,2020-09-26 10:04,"W Manslick Rd, Louisville US-KY 38.12004, -85.79591",38.120039,-85.795913,2020
77,Red-winged Blackbird,Agelaius phoeniceus,2020-09-26 10:04,"W Manslick Rd, Louisville US-KY 38.12004, -85.79591",38.120039,-85.795913,2020
78,Brown-headed Cowbird,Molothrus ater,2020-09-26 10:04,"W Manslick Rd, Louisville US-KY 38.12004, -85.79591",38.120039,-85.795913,2020
79,blackbird sp.,Icteridae sp.,2020-09-26 10:04,"W Manslick Rd, Louisville US-KY 38.12004, -85.79591",38.120039,-85.795913,2020
80,bird sp.,Aves sp.,2020-09-26 10:04,"W Manslick Rd, Louisville US-KY 38.12004, -85.79591",38.120039,-85.795913,2020
81,Swainson's Thrush,Catharus ustulatus,2020-09-26 10:02,Beargrass Creek State Nature Preserve,38.2112546,-85.7100682,2020
82,Double-crested Cormorant,Phalacrocorax auritus,2020-09-26 09:57,Van Buren Landing,37.9738181,-85.1580334,2020
83,Osprey,Pandion haliaetus,2020-09-26 09:57,Van Buren Landing,37.9738181,-85.1580334,2020
84,Blue Grosbeak,Passerina caerulea,2020-09-26 09:57,Van Buren Landing,37.9738181,-85.1580334,2020
85,Nashville Warbler,Leiothlypis ruficapilla,2020-09-26 09:39,"680 Kyles Ln, Fort Wright US-KY 39.04797, -84.53154",39.047969,-84.531536,2020
86,Rose-breasted Grosbeak,Pheucticus ludovicianus,2020-09-26 09:39,"680 Kyles Ln, Fort Wright US-KY 39.04797, -84.53154",39.047969,-84.531536,2020
87,Mallard,Anas platyrhynchos,2020-09-26 09:35,Horseshoe Rd. Sloughs (restricted access; roadside viewing),37.8818907,-87.8666514,2020
88,Horned Lark,Eremophila alpestris,2020-09-26 09:35,Horseshoe Rd. Sloughs (restricted access; roadside viewing),37.8818907,-87.8666514,2020
89,Northern Rough-winged Swallow,Stelgidopteryx serripennis,2020-09-26 09:35,Horseshoe Rd. Sloughs (restricted access; roadside viewing),37.8818907,-87.8666514,2020
90,Gray-cheeked Thrush,Catharus minimus,2020-09-26 09:34,Anchorage Trail,38.2666738,-85.5401262,2020
91,Yellow-throated Warbler,Setophaga dominica,2020-09-26 09:28,Barren River Lake--Tailwater Area,36.8951352,-86.1293364,2020
92,Scarlet Tanager,Piranga olivacea,2020-09-26 09:28,Barren River Lake--Tailwater Area,36.8951352,-86.1293364,2020
93,Mallard (Domestic type),Anas platyrhynchos (Domestic type),2020-09-26 09:25,Waverly Park,38.1316232,-85.8285043,2020
94,Ruby-crowned Kinglet,Regulus calendula,2020-09-26 09:16,Wilderness Trails Park,38.9680741,-84.4645965,2020
95,Yellow-throated Vireo,Vireo flavifrons,2020-09-26 09:10,Lake Barkley (Lyon Co.)--Boyd's Landing,37.0017644,-88.1659698,2020
96,Least Sandpiper,Calidris minutilla,2020-09-26 09:00,Falls of the Ohio National Wildlife Conservation Area (KY),38.2733354,-85.7657962,2020
97,Pectoral Sandpiper,Calidris melanotos,2020-09-26 09:00,Falls of the Ohio National Wildlife Conservation Area (KY),38.2733354,-85.7657962,2020
98,Semipalmated Sandpiper,Calidris pusilla,2020-09-26 09:00,Falls of the Ohio National Wildlife Conservation Area (KY),38.2733354,-85.7657962,2020
99,Spotted Sandpiper,Actitis macularius,2020-09-26 09:00,Falls of the Ohio National Wildlife Conservation Area (KY),38.2733354,-85.7657962,2020
100,Merlin,Falco columbarius,2020-09-26 09:00,Falls of the Ohio National Wildlife Conservation Area (KY),38.2733354,-85.7657962,2020
101,Mallard/American Black Duck,Anas platyrhynchos/rubripes,2020-09-26 08:39,"Waterfront Park, Louisville US-KY 38.26089, -85.74373",38.260892,-85.743725,2020
102,Blackburnian Warbler,Setophaga fusca,2020-09-26 08:39,Anchorage Trail,38.2666738,-85.5401262,2020
103,warbler sp. (Parulidae sp.),Parulidae sp.,2020-09-26 08:35,Logan Hubble Memorial Park,37.5866593,-84.6192012,2020
104,Great Crested Flycatcher,Myiarchus crinitus,2020-09-26 08:32,Caperton Swamp Park,38.2900693,-85.6813307,2020
105,Northern Waterthrush,Parkesia noveboracensis,2020-09-26 08:32,Caperton Swamp Park,38.2900693,-85.6813307,2020
106,Rock Pigeon,Columba livia,2020-09-26 08:30,Lexington Cemetery,38.0599186,-84.5085526,2020
107,Eastern Screech-Owl,Megascops asio,2020-09-26 08:30,Craigmoor Estates,38.19097,-84.63638,2020
108,Warbling Vireo,Vireo gilvus,2020-09-26 08:30,Craigmoor Estates,38.19097,-84.63638,2020
109,Pine Warbler,Setophaga pinus,2020-09-26 08:21,Barren River Lake--Quarry Rec. Area,36.8959589,-86.1207962,2020
110,Red-headed Woodpecker,Melanerpes erythrocephalus,2020-09-26 08:17,Dix river kayaking,37.63968,-84.672298,2020
111,American Kestrel,Falco sparverius,2020-09-26 08:17,Dix river kayaking,37.63968,-84.672298,2020
112,Canada Warbler,Cardellina canadensis,2020-09-26 07:58,Anchorage Trail,38.2666738,-85.5401262,2020
113,Northern Harrier,Circus hudsonius,2020-09-26 07:45,"Sloughs WMA, Sauerheber Unit",37.8488054,-87.7401166,2020
114,Wood Duck,Aix sponsa,2020-09-26 07:43,Nightingale CSO Basin (Post-2016),38.2144822,-85.7114928,2020
115,Wilson's Snipe,Gallinago delicata,2020-09-26 07:15,Harry King Rd,37.0582937,-85.9592628,2020
116,Solitary Sandpiper,Tringa solitaria,2020-09-26 07:15,Harry King Rd,37.0582937,-85.9592628,2020
117,Lesser Yellowlegs,Tringa flavipes,2020-09-26 07:15,Harry King Rd,37.0582937,-85.9592628,2020
118,Great Horned Owl,Bubo virginianus,2020-09-26 04:34,"45 S Harrig St, Madisonville US-KY 37.32659, -87.49254",37.326593,-87.492536,2020
119,Mourning Dove,Zenaida macroura,2019-09-26 21:50,"Land Between the Lakes (Trigg Co., KY)--Fenton Bridge Area",36.774505,-88.1089783,2019
120,Ruby-throated Hummingbird,Archilochus colubris,2019-09-26 21:50,"Land Between the Lakes (Trigg Co., KY)--Fenton Bridge Area",36.774505,-88.1089783,2019
121,Black Vulture,Coragyps atratus,2019-09-26 21:50,"Land Between the Lakes (Trigg Co., KY)--Fenton Bridge Area",36.774505,-88.1089783,2019
122,Turkey Vulture,Cathartes aura,2019-09-26 21:50,"Land Between the Lakes (Trigg Co., KY)--Fenton Bridge Area",36.774505,-88.1089783,2019
123,Bald Eagle,Haliaeetus leucocephalus,2019-09-26 21:50,"Land Between the Lakes (Trigg Co., KY)--Fenton Bridge Area",36.774505,-88.1089783,2019
124,Blue Jay,Cyanocitta cristata,2019-09-26 21:50,"Land Between the Lakes (Trigg Co., KY)--Fenton Bridge Area",36.774505,-88.1089783,2019
125,American Crow,Corvus brachyrhynchos,2019-09-26 21:50,"Land Between the Lakes (Trigg Co., KY)--Fenton Bridge Area",36.774505,-88.1089783,2019
126,Carolina Chickadee,Poecile carolinensis,2019-09-26 21:50,"Land Between the Lakes (Trigg Co., KY)--Fenton Bridge Area",36.774505,-88.1089783,2019
127,Tufted Titmouse,Baeolophus bicolor,2019-09-26 21:50,"Land Between the Lakes (Trigg Co., KY)--Fenton Bridge Area",36.774505,-88.1089783,2019
128,American Robin,Turdus migratorius,2019-09-26 21:50,"Land Between the Lakes (Trigg Co., KY)--Fenton Bridge Area",36.774505,-88.1089783,2019
129,Eastern Screech-Owl,Megascops asio,2019-09-26 21:05,"E.P. ""Tom"" Sawyer SP",38.2817914,-85.5584292,2019
130,Great Horned Owl,Bubo virginianus,2019-09-26 21:05,"E.P. ""Tom"" Sawyer SP",38.2817914,-85.5584292,2019
131,Pied-billed Grebe,Podilymbus podiceps,2019-09-26 19:36,"Hurricane Hills, Boston, Kentucky, US (37.831, -85.628)",37.8314879,-85.6280195,2019
132,Common Nighthawk,Chordeiles minor,2019-09-26 19:36,"Hurricane Hills, Boston, Kentucky, US (37.831, -85.628)",37.8314879,-85.6280195,2019
133,Great Blue Heron,Ardea herodias,2019-09-26 19:36,"Hurricane Hills, Boston, Kentucky, US (37.831, -85.628)",37.8314879,-85.6280195,2019
134,Green Heron,Butorides virescens,2019-09-26 19:36,"Hurricane Hills, Boston, Kentucky, US (37.831, -85.628)",37.8314879,-85.6280195,2019
135,Belted Kingfisher,Megaceryle alcyon,2019-09-26 19:36,"Hurricane Hills, Boston, Kentucky, US (37.831, -85.628)",37.8314879,-85.6280195,2019
136,Red-bellied Woodpecker,Melanerpes carolinus,2019-09-26 19:36,"Hurricane Hills, Boston, Kentucky, US (37.831, -85.628)",37.8314879,-85.6280195,2019
137,Downy Woodpecker,Dryobates pubescens,2019-09-26 19:36,"Hurricane Hills, Boston, Kentucky, US (37.831, -85.628)",37.8314879,-85.6280195,2019
138,Pileated Woodpecker,Dryocopus pileatus,2019-09-26 19:36,"Hurricane Hills, Boston, Kentucky, US (37.831, -85.628)",37.8314879,-85.6280195,2019
139,Northern Flicker,Colaptes auratus,2019-09-26 19:36,"Hurricane Hills, Boston, Kentucky, US (37.831, -85.628)",37.8314879,-85.6280195,2019
140,Rose-breasted Grosbeak,Pheucticus ludovicianus,2019-09-26 19:36,"Hurricane Hills, Boston, Kentucky, US (37.831, -85.628)",37.8314879,-85.6280195,2019
141,Canada Goose,Branta canadensis,2019-09-26 19:15,"Sutherland, Prospect, KY",38.3504434,-85.6149314,2019
142,Carolina Wren,Thryothorus ludovicianus,2019-09-26 19:15,"Sutherland, Prospect, KY",38.3504434,-85.6149314,2019
143,European Starling,Sturnus vulgaris,2019-09-26 19:15,"Sutherland, Prospect, KY",38.3504434,-85.6149314,2019
144,American Goldfinch,Spinus tristis,2019-09-26 19:15,"Sutherland, Prospect, KY",38.3504434,-85.6149314,2019
145,Common Grackle,Quiscalus quiscula,2019-09-26 19:15,"Sutherland, Prospect, KY",38.3504434,-85.6149314,2019
146,Northern Cardinal,Cardinalis cardinalis,2019-09-26 19:15,"Sutherland, Prospect, KY",38.3504434,-85.6149314,2019
147,Blue-winged Teal,Spatula discors,2019-09-26 18:45,Lawson-Poindexter Rd Farm Pond (restricted access; roadside viewing),36.64634,-87.2486007,2019
148,Mallard,Anas platyrhynchos,2019-09-26 18:45,Lawson-Poindexter Rd Farm Pond (restricted access; roadside viewing),36.64634,-87.2486007,2019
149,Black-necked Stilt,Himantopus mexicanus,2019-09-26 18:45,Lawson-Poindexter Rd Farm Pond (restricted access; roadside viewing),36.64634,-87.2486007,2019
150,Killdeer,Charadrius vociferus,2019-09-26 18:45,Lawson-Poindexter Rd Farm Pond (restricted access; roadside viewing),36.64634,-87.2486007,2019
151,Least Sandpiper,Calidris minutilla,2019-09-26 18:45,Lawson-Poindexter Rd Farm Pond (restricted access; roadside viewing),36.64634,-87.2486007,2019
