,code,name
0,US-TX-001,Anderson
1,US-TX-003,Andrews
2,US-TX-005,Angelina
3,US-TX-007,Aransas
4,US-TX-009,Archer
5,US-TX-011,Armstrong
6,US-TX-013,Atascosa
7,US-TX-015,Austin
8,US-TX-017,Bailey
9,US-TX-019,Bandera
10,US-TX-021,Bastrop
11,US-TX-023,Baylor
12,US-TX-025,Bee
13,US-TX-027,Bell
14,US-TX-029,Bexar
15,US-TX-031,Blanco
16,US-TX-033,Borden
17,US-TX-035,Bosque
18,US-TX-037,Bowie
19,US-TX-039,Brazoria
20,US-TX-041,Brazos
21,US-TX-043,Brewster
22,US-TX-045,Briscoe
23,US-TX-047,Brooks
24,US-TX-049,Brown
25,US-TX-051,Burleson
26,US-TX-053,Burnet
27,US-TX-055,Caldwell
28,US-TX-057,Calhoun
29,US-TX-059,Callahan
30,US-TX-061,Cameron
31,US-TX-063,Camp
32,US-TX-065,Carson
33,US-TX-067,Cass
34,US-TX-069,Castro
35,US-TX-071,Chambers
36,US-TX-073,Cherokee
37,US-TX-075,Childress
38,US-TX-077,Clay
39,US-TX-079,Cochran
40,US-TX-081,Coke
41,US-TX-083,Coleman
42,US-TX-085,Collin
43,US-TX-087,Collingsworth
44,US-TX-089,Colorado
45,US-TX-091,Comal
46,US-TX-093,Comanche
47,US-TX-095,Concho
48,US-TX-097,Cooke
49,US-TX-099,Coryell
50,US-TX-101,Cottle
51,US-TX-103,Crane
52,US-TX-105,Crockett
53,US-TX-107,Crosby
54,US-TX-109,Culberson
55,US-TX-111,Dallam
56,US-TX-113,Dallas
57,US-TX-115,Dawson
58,US-TX-123,DeWitt
59,US-TX-117,Deaf Smith
60,US-TX-119,Delta
61,US-TX-121,Denton
62,US-TX-125,Dickens
63,US-TX-127,Dimmit
64,US-TX-129,Donley
65,US-TX-131,Duval
66,US-TX-133,Eastland
67,US-TX-135,Ector
68,US-TX-137,Edwards
69,US-TX-141,El Paso
70,US-TX-139,Ellis
71,US-TX-143,Erath
72,US-TX-145,Falls
73,US-TX-147,Fannin
74,US-TX-149,Fayette
75,US-TX-151,Fisher
76,US-TX-153,Floyd
77,US-TX-155,Foard
78,US-TX-157,Fort Bend
79,US-TX-159,Franklin
80,US-TX-161,Freestone
81,US-TX-163,Frio
82,US-TX-165,Gaines
83,US-TX-167,Galveston
84,US-TX-169,Garza
85,US-TX-171,Gillespie
86,US-TX-173,Glasscock
87,US-TX-175,Goliad
88,US-TX-177,Gonzales
89,US-TX-179,Gray
90,US-TX-181,Grayson
91,US-TX-183,Gregg
92,US-TX-185,Grimes
93,US-TX-187,Guadalupe
94,US-TX-189,Hale
95,US-TX-191,Hall
96,US-TX-193,Hamilton
97,US-TX-195,Hansford
98,US-TX-197,Hardeman
99,US-TX-199,Hardin
100,US-TX-201,Harris
101,US-TX-203,Harrison
102,US-TX-205,Hartley
103,US-TX-207,Haskell
104,US-TX-209,Hays
105,US-TX-211,Hemphill
106,US-TX-213,Henderson
107,US-TX-215,Hidalgo
108,US-TX-217,Hill
109,US-TX-219,Hockley
110,US-TX-221,Hood
111,US-TX-223,Hopkins
112,US-TX-225,Houston
113,US-TX-227,Howard
114,US-TX-229,Hudspeth
115,US-TX-231,Hunt
116,US-TX-233,Hutchinson
117,US-TX-235,Irion
118,US-TX-237,Jack
119,US-TX-239,Jackson
120,US-TX-241,Jasper
121,US-TX-243,Jeff Davis
122,US-TX-245,Jefferson
123,US-TX-247,Jim Hogg
124,US-TX-249,Jim Wells
125,US-TX-251,Johnson
126,US-TX-253,Jones
127,US-TX-255,Karnes
128,US-TX-257,Kaufman
129,US-TX-259,Kendall
130,US-TX-261,Kenedy
131,US-TX-263,Kent
132,US-TX-265,Kerr
133,US-TX-267,Kimble
134,US-TX-269,King
135,US-TX-271,Kinney
136,US-TX-273,Kleberg
137,US-TX-275,Knox
138,US-TX-283,La Salle
139,US-TX-277,Lamar
140,US-TX-279,Lamb
141,US-TX-281,Lampasas
142,US-TX-285,Lavaca
143,US-TX-287,Lee
144,US-TX-289,Leon
145,US-TX-291,Liberty
146,US-TX-293,Limestone
147,US-TX-295,Lipscomb
148,US-TX-297,Live Oak
149,US-TX-299,Llano
150,US-TX-301,Loving
151,US-TX-303,Lubbock
152,US-TX-305,Lynn
153,US-TX-313,Madison
154,US-TX-315,Marion
155,US-TX-317,Martin
156,US-TX-319,Mason
157,US-TX-321,Matagorda
158,US-TX-323,Maverick
159,US-TX-307,McCulloch
160,US-TX-309,McLennan
161,US-TX-311,McMullen
162,US-TX-325,Medina
163,US-TX-327,Menard
164,US-TX-329,Midland
165,US-TX-331,Milam
166,US-TX-333,Mills
167,US-TX-335,Mitchell
168,US-TX-337,Montague
169,US-TX-339,Montgomery
170,US-TX-341,Moore
171,US-TX-343,Morris
172,US-TX-345,Motley
173,US-TX-347,Nacogdoches
174,US-TX-349,Navarro
175,US-TX-351,Newton
176,US-TX-353,Nolan
177,US-TX-355,Nueces
178,US-TX-357,Ochiltree
179,US-TX-359,Oldham
180,US-TX-361,Orange
181,US-TX-363,Palo Pinto
182,US-TX-365,Panola
183,US-TX-367,Parker
184,US-TX-369,Parmer
185,US-TX-371,Pecos
186,US-TX-373,Polk
187,US-TX-375,Potter
188,US-TX-377,Presidio
189,US-TX-379,Rains
190,US-TX-381,Randall
191,US-TX-383,Reagan
192,US-TX-385,Real
193,US-TX-387,Red River
194,US-TX-389,Reeves
195,US-TX-391,Refugio
196,US-TX-393,Roberts
197,US-TX-395,Robertson
198,US-TX-397,Rockwall
199,US-TX-399,Runnels
200,US-TX-401,Rusk
201,US-TX-403,Sabine
202,US-TX-405,San Augustine
203,US-TX-407,San Jacinto
204,US-TX-409,San Patricio
205,US-TX-411,San Saba
206,US-TX-413,Schleicher
207,US-TX-415,Scurry
208,US-TX-417,Shackelford
209,US-TX-419,Shelby
210,US-TX-421,Sherman
211,US-TX-423,Smith
212,US-TX-425,Somervell
213,US-TX-427,Starr
214,US-TX-429,Stephens
215,US-TX-431,Sterling
216,US-TX-433,Stonewall
217,US-TX-435,Sutton
218,US-TX-437,Swisher
219,US-TX-439,Tarrant
220,US-TX-441,Taylor
221,US-TX-443,Terrell
222,US-TX-445,Terry
223,US-TX-447,Throckmorton
224,US-TX-449,Titus
225,US-TX-451,Tom Green
226,US-TX-453,Travis
227,US-TX-455,Trinity
228,US-TX-457,Tyler
229,US-TX-459,Upshur
230,US-TX-461,Upton
231,US-TX-463,Uvalde
232,US-TX-465,Val Verde
233,US-TX-467,Van Zandt
234,US-TX-469,Victoria
235,US-TX-471,Walker
236,US-TX-473,Waller
237,US-TX-475,Ward
238,US-TX-477,Washington
239,US-TX-479,Webb
240,US-TX-481,Wharton
241,US-TX-483,Wheeler
242,US-TX-485,Wichita
243,US-TX-487,Wilbarger
244,US-TX-489,Willacy
245,US-TX-491,Williamson
246,US-TX-493,Wilson
247,US-TX-495,Winkler
248,US-TX-497,Wise
249,US-TX-499,Wood
250,US-TX-501,Yoakum
251,US-TX-503,Young
252,US-TX-505,Zapata
253,US-TX-507,Zavala
